,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,logNumVotes,FilmRating
212218,tt2140203,movie,Wolf Children,Ôkami kodomo no Ame to Yuki,0,2012,\N,117,"Animation,Drama,Family",0.8099999999999999,47244,0.7256298831421766,5.877602053451629
134934,tt0461770,movie,Enchanted,Enchanted,0,2007,\N,107,"Adventure,Animation,Comedy",0.71,211340,0.8266322828210859,5.86908920802971
12652,tt0034492,movie,Bambi,Bambi,0,1942,\N,69,"Adventure,Animation,Drama",0.73,148822,0.8029874808732965,5.861808610375064
18655,tt0043274,movie,Alice in Wonderland,Alice in Wonderland,0,1951,\N,75,"Adventure,Animation,Comedy",0.73,148098,0.8026586985014806,5.859408499060809
20684,tt0046183,movie,Peter Pan,Peter Pan,0,1953,\N,77,"Adventure,Animation,Family",0.73,147258,0.8022752180691459,5.856609091904765
62384,tt0113824,movie,Whisper of the Heart,Mimi wo sumaseba,0,1995,\N,111,"Animation,Drama,Family",0.78,67319,0.7495038809409666,5.84613027133954
65789,tt0120630,movie,Chicken Run,Chicken Run,0,2000,\N,84,"Adventure,Animation,Comedy",0.71,200409,0.8230518300528554,5.8436679933752735
22137,tt0048280,movie,Lady and the Tramp,Lady and the Tramp,0,1955,\N,76,"Adventure,Animation,Comedy",0.73,142348,0.7999889660481033,5.839919452151154
225108,tt2576852,movie,The Tale of The Princess Kaguya,Kaguya-hime no monogatari,0,2013,\N,137,"Animation,Drama,Family",0.8,50183,0.7296986292738646,5.837589034190918
101290,tt0259534,movie,Ramayana: The Legend of Prince Rama,Ramayana: The Legend of Prince Rama,0,1993,\N,135,"Action,Adventure,Animation",0.9199999999999999,12181,0.6342477038480678,5.835078875402223
25779,tt0053285,movie,Sleeping Beauty,Sleeping Beauty,0,1959,\N,75,"Adventure,Animation,Family",0.72,155122,0.8057827120443385,5.801635526719236
238565,tt3470600,movie,Sing,Sing,0,2016,\N,108,"Animation,Comedy,Family",0.71,180269,0.8159115388196116,5.792971925619242
235729,tt3262342,movie,Loving Vincent,Loving Vincent,0,2017,\N,94,"Animation,Drama,Mystery",0.78,60755,0.7425872143863703,5.792180272213688
153041,tt1080016,movie,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,0,2009,\N,94,"Adventure,Animation,Comedy",0.6900000000000001,254867,0.8392579745356162,5.7908800242957525
141032,tt0808506,movie,The Girl Who Leapt Through Time,Toki o kakeru shôjo,0,2006,\N,98,"Adventure,Animation,Comedy",0.77,68699,0.7508719441159235,5.781713969692611
142582,tt0844471,movie,Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs,0,2009,\N,90,"Adventure,Animation,Comedy",0.6900000000000001,245948,0.8368564152910165,5.774309265508014
