,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
37441,Ivan Vasilyevich Changes His Profession,0,1973,88,"Adventure,Comedy,Sci-Fi",5.404
49436,Re-Animator,0,1985,84,"Comedy,Horror,Sci-Fi",5.404
6001,The Invisible Man,0,1933,71,"Horror,Sci-Fi",5.399
26603,The Time Machine,0,1960,103,"Adventure,Romance,Sci-Fi",5.397
48214,1984,0,1984,113,"Drama,Sci-Fi",5.376
128928,District B13,0,2004,84,"Action,Crime,Sci-Fi",5.356
188127,Another Earth,0,2011,92,"Drama,Romance,Sci-Fi",5.346
63859,Mars Attacks!,0,1996,106,"Comedy,Sci-Fi",5.338
172684,Terminator Genisys,0,2015,126,"Action,Adventure,Sci-Fi",5.336
44505,Superman II,0,1980,127,"Action,Adventure,Sci-Fi",5.328
126174,Primer,0,2004,77,"Drama,Sci-Fi,Thriller",5.324
137187,Timecrimes,0,2007,92,"Horror,Mystery,Sci-Fi",5.315
237842,Finch,0,2021,115,"Adventure,Drama,Sci-Fi",5.306
46500,Tron,0,1982,96,"Action,Adventure,Sci-Fi",5.304
21251,Godzilla,0,1954,96,"Horror,Sci-Fi",5.303
245674,Maze Runner: The Scorch Trials,0,2015,131,"Action,Adventure,Sci-Fi",5.3
71817,The Thirteenth Floor,0,1999,100,"Mystery,Sci-Fi,Thriller",5.297
133770,Death Race,0,2008,105,"Action,Sci-Fi,Thriller",5.297
65977,eXistenZ,0,1999,97,"Horror,Mystery,Sci-Fi",5.296
220038,Lucia,0,2013,135,"Drama,Sci-Fi,Thriller",5.288
125708,Idiocracy,0,2006,84,"Adventure,Comedy,Sci-Fi",5.285
168080,A.R.O.G,0,2008,127,"Comedy,Fantasy,Sci-Fi",5.259
37794,Soylent Green,0,1973,97,"Crime,Mystery,Sci-Fi",5.251
70019,The Faculty,0,1998,104,"Horror,Mystery,Sci-Fi",5.238
255996,Godzilla vs. Kong,0,2021,113,"Action,Sci-Fi,Thriller",5.229
254410,Jurassic World: Fallen Kingdom,0,2018,128,"Action,Adventure,Sci-Fi",5.225
164308,Hot Tub Time Machine,0,2010,99,"Comedy,Sci-Fi",5.223
176060,Total Recall,0,2012,118,"Action,Adventure,Sci-Fi",5.213
180050,Perfect Sense,0,2011,92,"Drama,Romance,Sci-Fi",5.208
138094,Jumper,0,2008,88,"Action,Adventure,Sci-Fi",5.206
177867,Riddick,0,2013,119,"Action,Adventure,Sci-Fi",5.205
64549,Alien: Resurrection,0,1997,109,"Action,Horror,Sci-Fi",5.204
232937,Hardcore Henry,0,2015,96,"Action,Adventure,Sci-Fi",5.196
30880,Fahrenheit 451,0,1966,112,"Drama,Sci-Fi",5.196
62910,Waterworld,0,1995,135,"Action,Adventure,Sci-Fi",5.191
230792,The Divergent Series: Insurgent,0,2015,119,"Action,Adventure,Sci-Fi",5.189
133247,Knowing,0,2009,121,"Action,Mystery,Sci-Fi",5.181
269354,I Am Mother,0,2019,113,"Drama,Mystery,Sci-Fi",5.18
119042,Superman Returns,0,2006,154,"Action,Adventure,Sci-Fi",5.17
214982,Transcendence,0,2014,119,"Action,Drama,Sci-Fi",5.168
231763,The Purge: Anarchy,0,2014,103,"Action,Horror,Sci-Fi",5.163
151161,Transformers: Revenge of the Fallen,0,2009,149,"Action,Adventure,Sci-Fi",5.149
250947,Overlord,0,2018,110,"Action,Horror,Sci-Fi",5.137
146132,Surrogates,0,2009,89,"Action,Sci-Fi,Thriller",5.135
35125,The Andromeda Strain,0,1971,131,"Mystery,Sci-Fi,Thriller",5.132
55490,Predator 2,0,1990,108,"Action,Horror,Sci-Fi",5.129
37926,Westworld,0,1973,88,"Action,Drama,Sci-Fi",5.127
37786,Sleeper,0,1973,89,"Comedy,Sci-Fi",5.118
47841,Dune,0,1984,137,"Action,Adventure,Sci-Fi",5.107
131364,Resident Evil: Extinction,0,2007,94,"Action,Horror,Sci-Fi",5.104
48467,Starman,0,1984,115,"Romance,Sci-Fi",5.104
31274,Seconds,0,1966,106,"Sci-Fi,Thriller",5.102
181856,I Am Number Four,0,2011,111,"Action,Adventure,Sci-Fi",5.099
49703,Weird Science,0,1985,94,"Comedy,Romance,Sci-Fi",5.094
131490,Daybreakers,0,2009,98,"Action,Horror,Sci-Fi",5.088
164549,RoboCop,0,2014,117,"Action,Crime,Sci-Fi",5.085
270955,Terminator: Dark Fate,0,2019,128,"Action,Adventure,Sci-Fi",5.072
65801,Deep Impact,0,1998,120,"Action,Drama,Sci-Fi",5.067
77066,Jurassic Park III,0,2001,92,"Action,Adventure,Sci-Fi",5.057
131740,The Giver,0,2014,97,"Drama,Romance,Sci-Fi",5.055
50261,Kin-dza-dza!,0,1986,135,"Comedy,Drama,Sci-Fi",5.055
212231,Self/less,0,2015,117,"Action,Mystery,Sci-Fi",5.054
23754,The Incredible Shrinking Man,0,1957,81,"Horror,Sci-Fi",5.048
48465,Star Trek III: The Search for Spock,0,1984,105,"Action,Adventure,Sci-Fi",5.044
226564,Midnight Special,0,2016,112,"Drama,Mystery,Sci-Fi",5.038
40344,Logan's Run,0,1976,119,"Action,Adventure,Sci-Fi",5.037
161662,2012,0,2009,158,"Action,Adventure,Sci-Fi",5.032
114305,Resident Evil: Apocalypse,0,2004,94,"Action,Horror,Sci-Fi",5.03
287848,M3GAN,0,2022,102,"Horror,Sci-Fi,Thriller",5.017
131756,Next,0,2007,96,"Action,Sci-Fi,Thriller",5.016
48823,Cocoon,0,1985,117,"Comedy,Drama,Sci-Fi",5.014
62365,Memories,0,1995,113,"Animation,Sci-Fi,Thriller",5.006
55016,Flatliners,0,1990,115,"Drama,Horror,Sci-Fi",5.001
90582,The Cell,0,2000,107,"Crime,Horror,Sci-Fi",4.993
128410,Cowboys & Aliens,0,2011,119,"Action,Drama,Sci-Fi",4.989
250600,Maze Runner: The Death Cure,0,2018,143,"Action,Adventure,Sci-Fi",4.986
132303,Slither,0,2006,95,"Comedy,Horror,Sci-Fi",4.98
215667,Rampage,0,2018,107,"Action,Adventure,Sci-Fi",4.97
20950,The War of the Worlds,0,1953,85,"Action,Sci-Fi,Thriller",4.968
19269,The Thing from Another World,0,1951,87,"Horror,Sci-Fi",4.963
44425,Scanners,0,1981,103,"Horror,Sci-Fi,Thriller",4.962
49197,Mad Max Beyond Thunderdome,0,1985,107,"Action,Adventure,Sci-Fi",4.96
144227,The Thing,0,2011,103,"Horror,Mystery,Sci-Fi",4.955
144342,Frequently Asked Questions About Time Travel,0,2009,83,"Comedy,Sci-Fi",4.944
43523,Star Trek: The Motion Picture,0,1979,143,"Adventure,Mystery,Sci-Fi",4.94
117519,Paycheck,0,2003,119,"Action,Mystery,Sci-Fi",4.935
47617,2010: The Year We Make Contact,0,1984,116,"Adventure,Mystery,Sci-Fi",4.933
276012,Venom: Let There Be Carnage,0,2021,97,"Action,Sci-Fi,Thriller",4.928
150972,Repo Men,0,2010,111,"Action,Sci-Fi,Thriller",4.927
50648,Short Circuit,0,1986,98,"Comedy,Family,Sci-Fi",4.927
5242,Dr. Jekyll and Mr. Hyde,0,1931,98,"Horror,Sci-Fi",4.921
169457,Enthiran,0,2010,155,"Action,Sci-Fi,Thriller",4.916
34960,THX 1138,0,1971,86,"Drama,Sci-Fi,Thriller",4.915
43701,Altered States,0,1980,102,"Horror,Sci-Fi,Thriller",4.893
31340,The Face of Another,0,1966,122,"Drama,Horror,Sci-Fi",4.889
183165,Redline,0,2009,102,"Action,Animation,Sci-Fi",4.888
49437,Real Genius,0,1985,108,"Comedy,Romance,Sci-Fi",4.885
99807,Star Trek: Nemesis,0,2002,116,"Action,Adventure,Sci-Fi",4.882
21660,Them!,0,1954,94,"Horror,Sci-Fi",4.879
180086,Battleship,0,2012,131,"Action,Adventure,Sci-Fi",4.865
65935,Star Trek: Insurrection,0,1998,103,"Action,Adventure,Sci-Fi",4.858
41826,The Boys from Brazil,0,1978,125,"Drama,Mystery,Sci-Fi",4.857
99151,Evolution,0,2001,101,"Comedy,Sci-Fi",4.851
24542,The Fly,0,1958,94,"Drama,Horror,Sci-Fi",4.839
48089,The Last Starfighter,0,1984,101,"Action,Adventure,Sci-Fi",4.834
26649,Village of the Damned,0,1960,77,"Horror,Sci-Fi",4.834
43272,Moonraker,0,1979,126,"Action,Adventure,Sci-Fi",4.833
21129,Creature from the Black Lagoon,0,1954,79,"Horror,Sci-Fi",4.832
48407,Sexmission,0,1984,117,"Adventure,Comedy,Sci-Fi",4.821
43978,Flash Gordon,0,1980,111,"Action,Adventure,Sci-Fi",4.817
273724,The Vast of Night,0,2019,91,"Drama,Mystery,Sci-Fi",4.811
199439,Frankenstein,0,2011,130,"Drama,Sci-Fi",4.81
29876,Alphaville,0,1965,99,"Drama,Mystery,Sci-Fi",4.809
129543,Land of the Dead,0,2005,93,"Horror,Sci-Fi,Thriller",4.808
222697,Project Almanac,0,2015,106,"Drama,Mystery,Sci-Fi",4.807
54496,UHF,0,1989,97,"Comedy,Sci-Fi",4.798
54872,Darkman,0,1990,96,"Action,Sci-Fi,Thriller",4.798
153292,The Matrix Resurrections,0,2021,148,"Action,Sci-Fi",4.796
72433,Dragon Ball Z: Revival Fusion,0,1995,51,"Action,Animation,Sci-Fi",4.791
231659,Steins;Gate: The Movie - Load Region of Déjà Vu,0,2013,90,"Animation,Mystery,Sci-Fi",4.791
210670,Transformers: Age of Extinction,0,2014,165,"Action,Adventure,Sci-Fi",4.79
135360,Push,0,2009,111,"Action,Sci-Fi,Thriller",4.788
221242,Dark Skies,0,2013,97,"Horror,Sci-Fi,Thriller",4.784
65526,Sphere,0,1998,134,"Action,Mystery,Sci-Fi",4.772
42821,The Brood,0,1979,92,"Horror,Sci-Fi",4.764
287980,Freaks,0,2018,105,"Drama,Mystery,Sci-Fi",4.759
103650,The Time Machine,0,2002,96,"Action,Adventure,Sci-Fi",4.755
154232,Titane,0,2021,108,"Drama,Horror,Sci-Fi",4.75
213792,The Purge,0,2013,85,"Horror,Sci-Fi,Thriller",4.747
62619,Richard III,0,1995,110,"Drama,Sci-Fi,War",4.739
120879,Blade: Trinity,0,2004,113,"Action,Horror,Sci-Fi",4.739
43566,Time After Time,0,1979,112,"Adventure,Drama,Sci-Fi",4.736
69854,Planet of the Apes,0,2001,119,"Action,Adventure,Sci-Fi",4.734
232294,Criminal,0,2016,113,"Action,Sci-Fi,Thriller",4.729
107949,Hulk,0,2003,138,"Action,Sci-Fi",4.727
50959,Bad Taste,0,1987,91,"Comedy,Horror,Sci-Fi",4.725
292287,Android Kunjappan Ver 5.25,0,2019,140,"Comedy,Drama,Sci-Fi",4.723
163604,Resident Evil: Afterlife,0,2010,96,"Action,Horror,Sci-Fi",4.722
52240,The Blob,0,1988,95,"Horror,Sci-Fi,Thriller",4.721
227018,Time Lapse,0,2014,104,"Horror,Mystery,Sci-Fi",4.72
150280,G.I. Joe: The Rise of Cobra,0,2009,118,"Action,Adventure,Sci-Fi",4.714
73848,Deep Blue Sea,0,1999,105,"Action,Adventure,Sci-Fi",4.708
244555,The Space Between Us,0,2017,120,"Drama,Romance,Sci-Fi",4.708
58386,Universal Soldier,0,1992,102,"Action,Sci-Fi",4.706
43369,Phantasm,0,1979,89,"Horror,Sci-Fi",4.706
51338,The Hidden,0,1987,97,"Horror,Sci-Fi,Thriller",4.706
135079,Outlander,0,2008,115,"Action,Adventure,Sci-Fi",4.704
53181,Tetsuo: The Iron Man,0,1989,67,"Horror,Sci-Fi",4.702
210531,Spectral,0,2016,107,"Action,Adventure,Sci-Fi",4.688
271906,X-Men: Dark Phoenix,0,2019,113,"Action,Adventure,Sci-Fi",4.683
107577,Cypher,0,2002,95,"Mystery,Sci-Fi,Thriller",4.682
246337,The Purge: Election Year,0,2016,108,"Action,Horror,Sci-Fi",4.68
91932,The 6th Day,0,2000,123,"Action,Mystery,Sci-Fi",4.67
157336,Green Lantern,0,2011,114,"Action,Adventure,Sci-Fi",4.665
