,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
163085,Assembly Rowdy,0,1991,\N,"Action,Drama",2.4976262089426697
125926,The Girl from Monday,0,2005,84,"Action,Comedy,Sci-Fi",2.4974125874512656
5396,The Last Mile,0,1932,75,"Action,Crime,Drama",2.497017696471352
123609,Footpath,0,2003,164,"Action,Crime,Drama",2.4969254407236443
43488,A Slice of Death,0,1979,84,"Action,Adventure",2.496578672368739
47258,Atlantis Interceptors,0,1983,92,"Action,Sci-Fi",2.4965344601768997
193078,No Looking Back,0,2021,101,"Action,Comedy,Crime",2.4964861583169813
94509,Nakhashathangal,0,1986,140,"Action,Drama",2.496450240399003
40665,The Arrows of Robin Hood,0,1975,78,"Action,Adventure,History",2.4961827133085968
239428,Insane,0,2015,85,"Action,Comedy,Crime",2.4961827133085968
40100,Eat My Dust,0,1976,89,"Action,Comedy,Romance",2.4961598054175975
277965,The (Silent) War,0,2019,121,"Action,Drama",2.495822924593642
182119,"Hard Revenge, Milly: Bloody Battle",0,2009,72,"Action,Drama,Sci-Fi",2.495672348560521
97993,Kondaveeti Raja,0,1986,140,"Action,Drama",2.495592577198773
216738,Aviator,0,2016,87,"Action,Drama,Thriller",2.495589914852847
136738,A Happy Ending,0,2005,60,"Action,Comedy,Drama",2.495490009154321
148259,Pig Hunt,0,2008,99,"Action,Horror,Thriller",2.4954823823067454
217145,Beijing Blues,0,2012,118,"Action,Crime",2.495105663543297
87931,Samurai Vendetta,0,1959,109,"Action,Drama",2.495105663543297
145203,The Missing Lynx,0,2008,97,"Action,Adventure,Animation",2.494835359313941
45869,Desh Premee,0,1982,165,"Action,Comedy,Drama",2.4947990318929856
158426,The Haunted House: The Sky Ghost vs Jormungandr,0,2019,97,"Action,Adventure,Animation",2.494568753273734
36011,The Shadow Whip,0,1971,78,"Action,Drama",2.494262906281392
213672,Runway Cop,0,2012,110,"Action,Comedy,Romance",2.494135712275404
39418,Marco Polo,0,1975,103,"Action,Adventure,Biography",2.4940999945720064
94155,Ultraman Tiga: The Final Odyssey,0,2000,85,"Action,Adventure,Fantasy",2.4940626498913603
66850,Nemuri Kyôshirô: Joyôken,0,1964,87,"Action,Drama",2.4940038471241994
141767,Eddie Monroe,0,2006,100,Action,2.4937430733628703
208029,Bunohan: Return to Murder,0,2011,97,"Action,Drama,Thriller",2.4936500440660057
106368,Gulabi,0,1996,138,"Action,Romance",2.493628713641057
49048,Hong Kong Godfather,0,1985,95,"Action,Crime,Thriller",2.493628713641057
251329,Tombiruo,0,2017,115,"Action,Adventure,Drama",2.493471265521141
51174,Down Twisted,0,1987,88,"Action,Adventure,Crime",2.4934386712870475
